job_id,workload_cu
0,0.0207
1,0.0072
2,0.0486
3,0.0704
4,0.0024
5,0.0615
6,0.0057
7,0.022
8,0.0081
9,0.0972
10,0.0163
11,0.0412
12,0.0025
13,0.0004
14,0.0142
15,0.0229
16,0.0081
17,0.009
18,0.0135
19,0.0019
20,0.0057
21,0.0056
22,0.0112
23,0.0202
24,0.0811
25,0.0324
26,0.0081
27,0.0163
28,0.0066
29,0.0139
30,0.0066
31,0.0081
32,0.0081
33,0.0074
34,0.002
35,0.0015
36,0.0011
37,0.0223
38,0.0659
39,0.0023
40,0.0084
41,0.0025
42,0.0069
43,0.0004
44,0.0035
45,0.0081
46,0.0653
47,0.0018
48,0.0162
49,0.1743
50,0.0081
51,0.0057
52,0.0002
53,0.0486
54,0.0094
55,0.0094
56,0.0188
57,0.0081
58,0.0011
59,0.1743
60,0.0121
61,0.0066
62,0.0132
63,0.0057
64,0.0115
65,0.0218
66,0.0057
67,0.0011
68,0.0066
69,0.0066
70,0.0019
71,0.0085
72,0.0352
73,0.0187
74,0.0057
75,0.0163
76,0.0529
77,0.0037
78,0.0202
79,0.0412
80,0.0203
81,0.0114
82,0.0057
83,0.0057
84,0.0266
85,0.011
86,0.0204
87,0.0097
88,0.0041
89,0.0188
90,0.0066
91,0.0121
92,0.0023
93,0.0066
94,0.0081
95,0.0347
96,0.0121
97,0.0081
98,0.0132
99,0.0018
100,0.0057
101,0.0081
102,0.0135
103,0.0132
104,0.0105
105,0.0098
106,0.0094
107,0.0089
108,0.0038
109,0.0057
110,0.0146
111,0.0121
112,0.0146
113,0.0057
114,0.0011
115,0.0112
116,0.0068
117,0.022
118,0.0412
119,0.0172
120,0.0176
121,0.0352
122,0.0066
123,0.0094
124,0.0203
125,0.0057
126,0.0041
127,0.0229
128,0.0081
129,0.0229
130,0.0202
131,0.0137
132,0.0053
133,0.0021
134,0.0173
135,0.0018
136,0.0132
137,0.0811
138,0.0266
139,0.0015
140,0.0048
141,0.003
142,0.0081
143,0.0081
144,0.0111
145,0.0057
146,0.0412
147,0.0032
148,0.0176
149,0.0041
150,0.003
151,0.0269
152,0.0015
153,0.0134
154,0.0132
155,0.0094
156,0.0569
157,0.0057
158,0.0002
159,0.0006
160,0.0097
161,0.0081
162,0.0061
163,0.0304
164,0.017
165,0.0174
166,0.0024
167,0.0057
168,0.0086
169,0.0044
170,0.011
171,0.0057
172,0.0066
173,0.0208
174,0.0026
175,0.0026
176,0.0081
177,0.0132
178,0.0057
179,0.0081
180,0.0008
181,0.0145
182,0.0025
183,0.0112
184,0.0115
185,0.0316
186,0.0079
187,0.0081
188,0.011
189,0.0088
190,0.0066
191,0.0174
192,0.0081
193,0.0009
194,0.0011
195,0.0486
196,0.0121
197,0.0203
198,0.0081
199,0.0057
200,0.0659
201,0.0081
202,0.0142
203,0.0972
204,0.0089
205,0.0025
206,0.0057
207,0.001
208,0.0352
209,0.0012
210,0.0041
211,0.0081
212,0.0242
213,0.0057
214,0.0069
215,0.0569
216,0.0808
217,0.0203
218,0.0025
219,0.1318
220,0.0066
221,0.0073
222,0.0972
223,0.0066
224,0.0057
225,0.0057
226,0.0202
227,0.0057
228,0.0024
229,0.0057
230,0.0057
231,0.009
232,0.0154
233,0.0057
234,0.0204
235,0.0039
236,0.0011
237,0.0412
238,0.0066
239,0.0048
240,0.0057
241,0.0347
242,0.0176
243,0.0095
244,0.0057
245,0.0026
246,0.015
247,0.0057
248,0.0057
249,0.0018
250,0.0057
251,0.0037
252,0.0458
253,0.0026
254,0.0659
255,0.0412
256,0.0247
257,0.0072
258,0.0011
259,0.0099
260,0.0026
261,0.0066
262,0.0052
263,0.0412
264,0.0163
265,0.0041
266,0.0195
267,0.0044
268,0.0972
269,0.0055
270,0.0122
271,0.0081
272,0.0011
273,0.2637
274,0.0005
275,0.0018
276,0.0022
277,0.0089
278,0.0057
279,0.0659
280,0.0057
281,0.0117
282,0.0057
283,0.0111
284,0.0032
285,0.0057
286,0.0166
287,0.0081
288,0.0011
289,0.009
290,0.0026
291,0.0122
292,0.0057
293,0.0195
294,0.0064
295,0.0202
296,0.0066
297,0.0012
298,0.0529
299,0.0203
300,0.0004
301,0.0173
302,0.0111
303,0.002
304,0.0081
305,0.0018
306,0.0081
307,0.0012
308,0.0032
309,0.0057
310,0.0324
311,0.0094
312,0.0166
313,0.0025
314,0.0066
315,0.0057
316,0.0066
317,0.0033
318,0.0118
319,0.0022
320,0.0025
321,0.0095
322,0.0352
323,0.02
324,0.0132
325,0.0117
326,0.0024
327,0.0066
328,0.0081
329,0.0081
330,0.0412
331,0.0066
332,0.0294
333,0.1377
334,0.0066
335,0.0066
336,0.0116
337,0.0022
338,0.0121
339,0.02
340,0.0053
341,0.0081
342,0.0112
343,0.0015
344,0.0041
345,0.0132
346,0.0066
347,0.0081
348,0.0412
349,0.0011
350,0.0659
351,0.0066
352,0.0529
353,0.0066
354,0.0049
355,0.004
356,0.0041
357,0.0008
358,0.0057
359,0.0199
360,0.0041
361,0.0057
362,0.0057
363,0.0057
364,0.0117
365,0.0066
366,0.0026
367,0.0704
368,0.0011
369,0.0154
370,0.0066
371,0.007
372,0.0066
373,0.0026
374,0.0163
375,0.0044
376,0.0194
377,0.0057
378,0.0011
379,0.0057
380,0.1255
381,0.0057
382,0.0005
383,0.0121
384,0.0004
385,0.0004
386,0.0291
387,0.0021
388,0.0157
389,0.0057
390,0.0224
391,0.004
392,0.0026
393,0.0049
394,0.0163
395,0.0163
396,0.0011
397,0.583
398,0.0081
399,0.0066
400,0.0026
401,0.0026
402,0.0075
403,0.0009
404,0.0057
405,0.0179
406,0.0002
407,0.0026
408,0.0163
409,0.0066
410,0.0011
411,0.0154
412,0.0082
413,0.0081
414,0.0099
415,0.006
416,0.0026
417,0.0402
418,0.0081
419,0.0018
420,0.0057
421,0.0132
422,0.0081
423,0.0081
424,0.0011
425,0.0066
426,0.0057
427,0.0066
428,0.0316
429,0.0081
430,0.0187
431,0.0081
432,0.0202
433,0.0057
434,0.0086
435,0.0173
436,0.0171
437,0.0324
438,0.0402
439,0.0166
440,0.0154
441,0.0162
442,0.0004
443,0.0018
444,0.0066
445,0.0066
446,0.0132
447,0.0005
448,0.002
449,0.0162
450,0.0023
451,0.0081
452,0.0194
453,0.0142
454,0.0202
455,0.0057
456,0.0081
457,0.0304
458,0.0022
459,0.0057
460,0.0121
461,0.0121
462,0.0412
463,0.0019
464,0.0057
465,0.0019
466,0.0092
467,0.0037
468,0.0094
469,0.009
470,0.0055
471,0.0057
472,0.0057
473,0.0081
474,0.0347
475,0.0066
476,0.0029
477,0.0002
478,0.0066
479,0.0004
480,0.0011
481,0.0213
482,0.0824
483,0.0026
484,0.0057
485,0.0044
486,0.0025
487,0.0011
488,0.0159
489,0.002
490,0.0081
491,0.0021
492,0.0066
493,0.0082
494,0.0018
495,0.001
496,0.0333
497,0.0269
498,0.0018
499,0.0015
500,0.0091
501,0.0026
502,0.0324
503,0.0162
504,0.0066
505,0.0057
506,0.0132
507,0.02
508,0.0081
509,0.0162
510,0.0066
511,0.004
512,0.0057
513,0.0113
514,0.0015
515,0.0111
516,0.0201
517,0.0192
518,0.0234
519,0.0163
520,0.0015
521,0.0004
522,0.0093
523,0.0176
524,0.0022
525,0.0012
526,0.0158
527,0.0016
528,0.0412
529,0.0163
530,0.0057
531,0.0156
532,0.0222
533,0.0081
534,0.0132
535,0.0016
536,0.0027
537,0.0135
538,0.0272
539,0.0195
540,0.0031
541,0.0081
542,0.0068
543,0.0106
544,0.1318
545,0.0094
546,0.0012
547,0.0057
548,0.0082
549,0.0008
550,0.0035
551,0.0081
552,0.0012
553,0.0005
554,0.0152
555,0.0158
556,0.0111
557,0.0015
558,0.0081
559,0.0066
560,0.0333
561,0.0078
562,0.0022
563,0.073
564,0.0231
565,0.0132
566,0.0057
567,0.0163
568,0.0163
569,0.0455
570,0.041
571,0.0162
572,0.0217
573,0.0094
574,0.0066
575,0.0057
576,0.0025
577,0.0405
578,0.0066
579,0.0097
580,0.0081
581,0.0018
582,0.0095
583,0.0972
584,0.0031
585,0.0081
586,0.0166
587,0.0132
588,0.0176
589,0.1228
590,0.0081
591,0.0026
592,0.0005
593,0.0002
594,0.0057
595,0.0112
596,0.0412
597,0.0119
598,0.0057
599,0.0081
600,0.0333
601,0.0057
602,0.0116
603,0.0775
604,0.002
605,0.0036
606,0.0011
607,0.0121
608,0.014
609,0.1146
610,0.0132
611,0.0011
612,0.0081
613,0.0012
614,0.004
615,0.0049
616,0.3081
617,0.0202
618,0.0057
619,0.0041
620,0.0081
621,0.0002
622,0.0276
623,0.0081
624,0.0005
625,0.0028
626,0.0041
627,0.0057
628,0.0203
629,0.0092
630,0.0026
631,0.0112
632,0.2637
633,0.0691
634,0.0015
635,0.0659
636,0.0066
637,0.0112
638,0.0081
639,0.011
640,0.0009
641,0.0349
642,0.0119
643,0.004
644,0.0089
645,0.0077
646,0.0115
647,0.0234
648,0.0223
649,0.0173
650,0.0149
651,0.0066
652,0.0067
653,0.0024
654,0.0055
655,0.0132
656,0.1146
657,0.005
658,0.0003
659,0.0213
660,0.1318
661,0.0119
662,0.0119
663,0.0066
664,0.0018
665,0.0092
666,0.0057
667,0.0201
668,0.0066
669,0.0021
670,0.0599
671,0.0289
672,0.0314
673,0.0089
674,0.0557
675,0.0015
676,0.0841
677,0.0162
678,0.0022
679,0.0025
680,0.0225
681,0.0081
682,0.0066
683,0.0025
684,0.022
685,0.0057
686,0.0011
687,0.011
688,0.0412
689,0.0081
690,0.0201
691,0.0036
692,0.0047
693,0.0334
694,0.0966
695,0.009
696,0.0004
697,0.0021
698,0.0057
699,0.0086
700,0.0022
701,0.0217
702,0.0066
703,0.0081
704,0.0219
705,0.0025
706,0.0023
707,0.0174
708,0.0022
709,0.0972
710,0.0011
711,0.022
712,0.0132
713,0.0042
714,0.0412
715,0.0107
716,0.0025
717,0.0229
718,0.0089
719,0.0057
720,0.0086
721,0.0051
722,0.0081
723,0.0004
724,0.0202
725,0.022
726,0.1146
727,0.0092
728,0.0081
729,0.0026
730,0.0057
731,0.0025
732,0.0012
733,0.0162
734,0.0122
735,0.0316
736,0.0006
737,0.0037
738,0.002
739,0.0121
740,0.0066
741,0.0154
742,0.088
743,0.0294
744,0.0026
745,0.0324
746,0.0004
747,0.0148
748,0.0057
749,0.0284
750,0.0032
751,0.0145
752,0.0065
753,0.0128
754,0.004
755,0.0057
756,0.002
757,0.0026
758,0.0081
759,0.0024
760,0.0073
761,0.0091
762,0.0023
763,0.0081
764,0.0314
765,0.0167
766,0.0299
767,0.0289
768,0.0081
769,0.0046
770,0.0174
771,0.0079
772,0.0841
773,0.0011
774,0.0081
775,0.0529
776,0.0369
777,0.0012
778,0.0081
779,0.0122
780,0.073
781,0.004
782,0.0025
783,0.0081
784,0.0163
785,0.0066
786,0.0081
787,0.0094
788,0.0066
789,0.0004
790,0.0088
791,0.0138
792,0.0048
793,0.0397
794,0.0059
795,0.0152
796,0.0084
797,0.0025
798,0.0081
799,0.001
800,0.0004
801,0.0081
802,0.0203
803,0.0135
804,0.0106
805,0.0073
806,0.0116
807,0.004
808,0.0192
809,0.0216
810,0.0324
811,0.0145
812,0.0179
813,0.0529
814,0.0208
815,0.0092
816,0.0041
817,0.0013
818,0.0062
819,0.0162
820,0.0092
821,0.0057
822,0.0018
823,0.0066
824,0.0163
825,0.0015
826,0.0066
827,0.0154
828,0.0064
829,0.011
830,0.0004
831,0.0105
832,0.0011
833,0.0195
834,0.0044
835,0.0026
836,0.002
837,0.0002
838,0.0066
839,0.0163
840,0.0194
841,0.0081
842,0.0025
843,0.0095
